,id,scientificName,scientificNameAuthorship,decimalLongitude,decimalLatitude,scientificNameID,absence,aphiaID,basisOfRecord,brackish,category,class,classid,continent,country,dataset_id,family,familyid,genus,genusid,higherGeography,identificationReferences,kingdom,kingdomid,locality,marine,node_id,occurrenceID,order,orderid,originalScientificName,phylum,phylumid,sampleSizeUnit,samplingProtocol,species,speciesid,subphylum,subphylumid,superclass,superclassid,terrestrial,waterBody,year,flags
5517,3bdb08c9-8fea-4cec-8ae6-184737e3a1cb,Balaenoptera physalus,"(Linnaeus, 1758)",-170.0,57.0,urn:lsid:marinespecies.org:taxname:137091,False,137091,HumanObservation,,VU,Mammalia,1837,North America,United States,19119a0f-92f3-4662-85c5-30f8472067cf,Balaenopteridae,136979.0,Balaenoptera,137013.0,United States,"{Baretta, 1994 #1685}",Animalia,2,"Pribilof Isalnds, Bering Sea",True,"[""da50007b-7871-46cf-8530-441b5836d2c1""]",M_6415_1995,Cetartiodactyla,370511.0,Balaenoptera physalus,Chordata,1821,Frequency of group sightings,boat based surveys,Balaenoptera physalus,137091.0,Vertebrata,146419,Tetrapoda,1831,,Pacific north temperate,1995,no_depth
5527,3bed16f5-33a3-407f-bee7-05cb0044befb,Enhydra lutris,"Linnaeus, 1758",-162.42417,54.95139,urn:lsid:marinespecies.org:taxname:242598,False,242598,HumanObservation,,EN,Mammalia,1837,North America,United States,19119a0f-92f3-4662-85c5-30f8472067cf,Mustelidae,136974.0,Enhydra,242597.0,United States,"{DOROFF, 2003 #1276}",Animalia,2,"Fox Island, Aleutian Islands, Alaska",True,"[""da50007b-7871-46cf-8530-441b5836d2c1""]",M_4808_1990,Carnivora,2687.0,Enhydra lutris,Chordata,1821,number of individuals,aerial survey,Enhydra lutris,242598.0,Vertebrata,146419,Tetrapoda,1831,,Pacific north temperate,1990,"no_depth,on_land"
5530,3bf39c19-e4ec-4779-837f-705fd520aa19,Ursus maritimus,"Phipps, 1774",-125.73556,75.37972,urn:lsid:marinespecies.org:taxname:137085,False,137085,HumanObservation,,VU,Mammalia,1837,North America,Canada,19119a0f-92f3-4662-85c5-30f8472067cf,Ursidae,136977.0,Ursus,137011.0,Canada,"{Stirling, 2007 #1806}",Animalia,2,Northern beaufort sea population,True,"[""da50007b-7871-46cf-8530-441b5836d2c1""]",M_8084_1993,Carnivora,2687.0,Ursus maritimus,Chordata,1821,Population estimate,Modelled estimated during intensive capture years,Ursus maritimus,137085.0,Vertebrata,146419,Tetrapoda,1831,,Arctic,1993,no_depth
5536,3bff9df1-eb60-47ee-bd73-9bcc92acb845,Enhydra lutris,"Linnaeus, 1758",-157.15,56.71667,urn:lsid:marinespecies.org:taxname:242598,False,242598,HumanObservation,,EN,Mammalia,1837,North America,United States,19119a0f-92f3-4662-85c5-30f8472067cf,Mustelidae,136974.0,Enhydra,242597.0,United States,"{Burn, 2005 #2259}",Animalia,2,"South Alaska peninsula, False Pass to Cape Douglas, coastal",True,"[""da50007b-7871-46cf-8530-441b5836d2c1""]",M_9807_1974,Carnivora,2687.0,Enhydra lutris,Chordata,1821,Density (total otters per kilometer squared),Arial survey (coastal lengths),Enhydra lutris,242598.0,Vertebrata,146419,Tetrapoda,1831,,Arctic,1974,no_depth
5540,3c16995b-d47f-4c2f-baa4-60f378f8a39f,Megaptera novaeangliae,"Borowski, 1781",-170.0,57.0,urn:lsid:marinespecies.org:taxname:137092,False,137092,HumanObservation,,,Mammalia,1837,North America,United States,19119a0f-92f3-4662-85c5-30f8472067cf,Balaenopteridae,136979.0,Megaptera,137014.0,United States,"{Baretta, 1994 #1685}",Animalia,2,"Pribilof Islands, Bering Sea",True,"[""da50007b-7871-46cf-8530-441b5836d2c1""]",M_6421_2010,Cetartiodactyla,370511.0,Megaptera novaeangliae,Chordata,1821,frequency of group sightings,boat based survey,Megaptera novaeangliae,137092.0,Vertebrata,146419,Tetrapoda,1831,,Pacific north temperate,2010,no_depth
5543,3c1a84e3-3c4a-4887-8269-77e8dc661e1c,Enhydra lutris,"Linnaeus, 1758",-162.42417,54.95139,urn:lsid:marinespecies.org:taxname:242598,False,242598,HumanObservation,,EN,Mammalia,1837,North America,United States,19119a0f-92f3-4662-85c5-30f8472067cf,Mustelidae,136974.0,Enhydra,242597.0,United States,"{DOROFF, 2003 #1276}",Animalia,2,"Fox Island, Aleutian Islands, Alaska",True,"[""da50007b-7871-46cf-8530-441b5836d2c1""]",M_4808_1960,Carnivora,2687.0,Enhydra lutris,Chordata,1821,number of individuals,aerial survey,Enhydra lutris,242598.0,Vertebrata,146419,Tetrapoda,1831,,Pacific north temperate,1960,"no_depth,on_land"
5554,3c2f0bfb-8f36-48b4-b22b-a5fb6d39550e,Hyperoodon ampullatus,"(Forster, 1770)",-18.0,66.33333,urn:lsid:marinespecies.org:taxname:343899,False,343899,HumanObservation,,,Mammalia,1837,Europe,Iceland,19119a0f-92f3-4662-85c5-30f8472067cf,Ziphiidae,136986.0,Hyperoodon,137033.0,Iceland,"{Pike, 2005 #1125}",Animalia,2,Icelandic coastal waters,True,"[""da50007b-7871-46cf-8530-441b5836d2c1""]",M_2007_1983,Cetartiodactyla,370511.0,Hyperoodon ampullatus,Chordata,1821,Individuals,Primary sightings from aerial surveys,Hyperoodon ampullatus,343899.0,Vertebrata,146419,Tetrapoda,1831,,Arctic,1983,no_depth
5559,3c3bffba-803f-4ef7-a1c0-32f8a309f9ee,Ursus maritimus,"Phipps, 1774",-150.00028,64.00028,urn:lsid:marinespecies.org:taxname:137085,False,137085,HumanObservation,,VU,Mammalia,1837,North America,United States,19119a0f-92f3-4662-85c5-30f8472067cf,Ursidae,136977.0,Ursus,137011.0,United States,"{U.S. Fish and Wildlife Service, 2002 #1085}",Animalia,2,Alaskan Stock,True,"[""da50007b-7871-46cf-8530-441b5836d2c1""]",M_2233_1975,Carnivora,2687.0,Ursus maritimus,Chordata,1821,population estimate,Unknown,Ursus maritimus,137085.0,Vertebrata,146419,Tetrapoda,1831,,Arctic,1975,"no_depth,on_land"
5569,3c578876-5c68-400a-b47c-fc0a28e3a253,Balaenoptera physalus,"(Linnaeus, 1758)",-56.0,55.0,urn:lsid:marinespecies.org:taxname:137091,False,137091,HumanObservation,,VU,Mammalia,1837,North America,Canada,19119a0f-92f3-4662-85c5-30f8472067cf,Balaenopteridae,136979.0,Balaenoptera,137013.0,Canada,"{Meredith, 1988 #527}",Animalia,2,Newfoundland,True,"[""da50007b-7871-46cf-8530-441b5836d2c1""]",M_1948_1953,Cetartiodactyla,370511.0,Balaenoptera physalus,Chordata,1821,Inidividuals,Unknown,Balaenoptera physalus,137091.0,Vertebrata,146419,Tetrapoda,1831,,Atlantic north temperate,1953,no_depth
5574,3c6bb88c-ea12-4a50-be49-a88955e33fd6,Enhydra lutris,"Linnaeus, 1758",-163.76667,55.2,urn:lsid:marinespecies.org:taxname:242598,False,242598,HumanObservation,,EN,Mammalia,1837,North America,United States,19119a0f-92f3-4662-85c5-30f8472067cf,Mustelidae,136974.0,Enhydra,242597.0,United States,"{Burn, 2005 #2259}",Animalia,2,"North Alaskan Peninsula, southwest (offshore)",True,"[""da50007b-7871-46cf-8530-441b5836d2c1""]",M_9803_1987,Carnivora,2687.0,Enhydra lutris,Chordata,1821,Estimated abundance,Arial survey (strip transects),Enhydra lutris,242598.0,Vertebrata,146419,Tetrapoda,1831,,Arctic,1987,no_depth
5586,3c942c7a-562f-4204-8f2e-08f86993158c,Ursus maritimus,"Phipps, 1774",-83.6375,56.42278,urn:lsid:marinespecies.org:taxname:137085,False,137085,HumanObservation,,VU,Mammalia,1837,North America,Canada,19119a0f-92f3-4662-85c5-30f8472067cf,Ursidae,136977.0,Ursus,137011.0,Canada,"{Obbard, 2007 #1804}",Animalia,2,Southern Hudson bay population,True,"[""da50007b-7871-46cf-8530-441b5836d2c1""]",M_8081_2011,Carnivora,2687.0,Ursus maritimus,Chordata,1821,Number of bears,Estimates during intensive capture years,Ursus maritimus,137085.0,Vertebrata,146419,Tetrapoda,1831,,Arctic,2011,no_depth
5593,3ca59970-d060-4fdf-90d5-5073fe02fe04,Callorhinus ursinus,"Linnaeus, 1758",-170.24667,57.4,urn:lsid:marinespecies.org:taxname:254997,False,254997,HumanObservation,,VU,Mammalia,1837,North America,United States,19119a0f-92f3-4662-85c5-30f8472067cf,Otariidae,231386.0,Callorhinus,254996.0,United States,"{Towell, 2008 #2295}",Animalia,2,"St. Paul Island (in the Pribilof Islands part of the Aleutian Islands), Alaska",True,"[""da50007b-7871-46cf-8530-441b5836d2c1""]",M_4817_1967,Carnivora,2687.0,Callorhinus ursinus,Chordata,1821,number of individuals,Adult male direct count,Callorhinus ursinus,254997.0,Vertebrata,146419,Tetrapoda,1831,,Pacific north temperate,1967,no_depth
5601,3cc12012-663f-4a4d-91eb-ae3909118b3e,Delphinapterus leucas,"Pallas, 1776",-164.26889,63.84917,urn:lsid:marinespecies.org:taxname:137115,False,137115,HumanObservation,True,,Mammalia,1837,North America,United States,19119a0f-92f3-4662-85c5-30f8472067cf,Monodontidae,136983.0,Delphinapterus,137029.0,United States,"{DeMaster, 2001 #2258}",Animalia,2,"Norton Sound, Alaska",True,"[""da50007b-7871-46cf-8530-441b5836d2c1""]",M_9802_1996,Cetartiodactyla,370511.0,Delphinapterus leucas,Chordata,1821,animals seen/km2,Aerial survey & line transect surveys,Delphinapterus leucas,137115.0,Vertebrata,146419,Tetrapoda,1831,,Pacific north temperate,1996,no_depth
5604,3cc2ff9f-2102-4c77-bf4a-b3236c87ef5d,Eumetopias jubatus,"(Schreber, 1776)",151.5,46.5,urn:lsid:marinespecies.org:taxname:254999,False,254999,HumanObservation,,NT,Mammalia,1837,Asia,Russian Federation,19119a0f-92f3-4662-85c5-30f8472067cf,Otariidae,231386.0,Eumetopias,254998.0,Russian Federation,"{Burkanov, 2005 #1439}",Animalia,2,Kuril Islands,True,"[""da50007b-7871-46cf-8530-441b5836d2c1""]",M_2210_1954,Carnivora,2687.0,Eumetopias jubatus,Chordata,1821,Number of non-pups,Survey,Eumetopias jubatus,254999.0,Vertebrata,146419,Tetrapoda,1831,,Pacific north temperate,1954,no_depth
5605,3cc5062d-65a3-42f4-9ac7-ed8576fcc2ac,Ursus maritimus,"Phipps, 1774",-146.57028,70.67806,urn:lsid:marinespecies.org:taxname:137085,False,137085,HumanObservation,,VU,Mammalia,1837,North America,United States,19119a0f-92f3-4662-85c5-30f8472067cf,Ursidae,136977.0,Ursus,137011.0,"United States, Canada","{IUCN, 2001 #1798} updated with {IUCN/SSC Polar Bear Specialist Group, 2010 #2180}",Animalia,2,Southern Beaufort population,True,"[""da50007b-7871-46cf-8530-441b5836d2c1""]",M_8062_2007,Carnivora,2687.0,Ursus maritimus,Chordata,1821,Individuals,Unknown,Ursus maritimus,137085.0,Vertebrata,146419,Tetrapoda,1831,,Arctic,2007,no_depth
5610,3cd32146-022b-4bbf-b11f-5c5e5636457a,Enhydra lutris,"Linnaeus, 1758",-176.19556,51.87278,urn:lsid:marinespecies.org:taxname:242598,False,242598,HumanObservation,,EN,Mammalia,1837,North America,United States,19119a0f-92f3-4662-85c5-30f8472067cf,Mustelidae,136974.0,Enhydra,242597.0,United States,"{DOROFF, 2003 #1276}",Animalia,2,"Andreanof Islands, Aleutian Islands, Alaska",True,"[""da50007b-7871-46cf-8530-441b5836d2c1""]",M_4807_1985,Carnivora,2687.0,Enhydra lutris,Chordata,1821,number of individuals,aerial survey,Enhydra lutris,242598.0,Vertebrata,146419,Tetrapoda,1831,,Pacific north temperate,1985,"no_depth,on_land"
5623,3d023df4-6863-4ae9-8694-07c3473ca454,Callorhinus ursinus,"Linnaeus, 1758",-169.6,56.56667,urn:lsid:marinespecies.org:taxname:254997,False,254997,HumanObservation,,VU,Mammalia,1837,North America,United States,19119a0f-92f3-4662-85c5-30f8472067cf,Otariidae,231386.0,Callorhinus,254996.0,United States,"{Towell, 2008 #2295}",Animalia,2,"St. George Island (in the Pribilof Islands part of the Aleutian Islands), Alaska",True,"[""da50007b-7871-46cf-8530-441b5836d2c1""]",M_9808_1999,Carnivora,2687.0,Callorhinus ursinus,Chordata,1821,number of individuals,Adult male direct count,Callorhinus ursinus,254997.0,Vertebrata,146419,Tetrapoda,1831,,Pacific north temperate,1999,"no_depth,on_land"
5625,3d0db683-c7c9-4585-af16-0749a3b41d32,Odobenus rosmarus,"Illiger, 1815",-172.61,53.58111,urn:lsid:marinespecies.org:taxname:137077,False,137077,HumanObservation,,VU,Mammalia,1837,North America,United States,19119a0f-92f3-4662-85c5-30f8472067cf,Odobenidae,136975.0,Odobenus,137005.0,United States,"{Seitz, 1995 #1102}",Animalia,2,Alaska,True,"[""da50007b-7871-46cf-8530-441b5836d2c1""]",M_2217_1954,Carnivora,2687.0,Odobenus rosmarus,Chordata,1821,Number of individuals,Unknown,Odobenus rosmarus,137077.0,Vertebrata,146419,Tetrapoda,1831,,Pacific north temperate,1954,no_depth
5630,3d1e305d-60b7-451f-b784-2c4a873be2e5,Odobenus rosmarus,"Illiger, 1815",-175.0,60.0,urn:lsid:marinespecies.org:taxname:137077,False,137077,HumanObservation,,VU,Mammalia,1837,North America,United States,19119a0f-92f3-4662-85c5-30f8472067cf,Odobenidae,136975.0,Odobenus,137005.0,"United States, Russian Federation","{Fay, 1997 #544}",Animalia,2,Bering and Chukchi Sea of Alaska and Russia,True,"[""da50007b-7871-46cf-8530-441b5836d2c1""]",M_2219_1994,Carnivora,2687.0,Odobenus rosmarus,Chordata,1821,Population size,Aerial survey,Odobenus rosmarus,137077.0,Vertebrata,146419,Tetrapoda,1831,,Pacific north temperate,1994,no_depth
5638,3d3daa9a-bae6-4c05-ba4c-6c68093bc812,Callorhinus ursinus,"Linnaeus, 1758",-170.24667,57.4,urn:lsid:marinespecies.org:taxname:254997,False,254997,HumanObservation,,VU,Mammalia,1837,North America,United States,19119a0f-92f3-4662-85c5-30f8472067cf,Otariidae,231386.0,Callorhinus,254996.0,United States,"{Towell, 2008 #2295}",Animalia,2,"St. Paul Island (in the Pribilof Islands part of the Aleutian Islands), Alaska",True,"[""da50007b-7871-46cf-8530-441b5836d2c1""]",M_4817_1962,Carnivora,2687.0,Callorhinus ursinus,Chordata,1821,number of individuals,Adult male direct count,Callorhinus ursinus,254997.0,Vertebrata,146419,Tetrapoda,1831,,Pacific north temperate,1962,no_depth
5639,3d3e6a4a-c5d5-46eb-b81a-9a2a2082ae75,Ursus maritimus,"Phipps, 1774",-83.6375,56.42278,urn:lsid:marinespecies.org:taxname:137085,False,137085,HumanObservation,,VU,Mammalia,1837,North America,Canada,19119a0f-92f3-4662-85c5-30f8472067cf,Ursidae,136977.0,Ursus,137011.0,Canada,"{Obbard, 2007 #1804}",Animalia,2,Southern Hudson bay population,True,"[""da50007b-7871-46cf-8530-441b5836d2c1""]",M_8081_1955,Carnivora,2687.0,Ursus maritimus,Chordata,1821,Number of bears,Estimates during intensive capture years,Ursus maritimus,137085.0,Vertebrata,146419,Tetrapoda,1831,,Arctic,1955,no_depth
5648,3d59cdc3-f4f2-48da-aa6e-09eec663415e,Enhydra lutris,"Linnaeus, 1758",-176.64028,51.78444,urn:lsid:marinespecies.org:taxname:242598,False,242598,HumanObservation,,EN,Mammalia,1837,North America,United States,19119a0f-92f3-4662-85c5-30f8472067cf,Mustelidae,136974.0,Enhydra,242597.0,United States,"{Anthony, 2008 #2297}",Animalia,2,"Adak Island, Aleutian Islands, Alaska",True,"[""da50007b-7871-46cf-8530-441b5836d2c1""]",M_9813_1972,Carnivora,2687.0,Enhydra lutris,Chordata,1821,No. of otters/km of coastline,Unknown,Enhydra lutris,242598.0,Vertebrata,146419,Tetrapoda,1831,,Pacific north temperate,1972,"no_depth,on_land"
5657,3d6c1585-b72d-4696-865d-9f37ff23b107,Balaenoptera acutorostrata,"LacǸp��de, 1804",-170.0,57.0,urn:lsid:marinespecies.org:taxname:137087,False,137087,HumanObservation,,,Mammalia,1837,North America,United States,19119a0f-92f3-4662-85c5-30f8472067cf,Balaenopteridae,136979.0,Balaenoptera,137013.0,United States,"{Baretta, 1994 #1685}",Animalia,2,"Pribilof Isalnds, Bering Sea",True,"[""da50007b-7871-46cf-8530-441b5836d2c1""]",M_6420_1981,Cetartiodactyla,370511.0,Balaenoptera acutorostrata,Chordata,1821,Frequency of sightings of group per year,boat based survey,Balaenoptera acutorostrata,137087.0,Vertebrata,146419,Tetrapoda,1831,,Pacific north temperate,1981,no_depth
5661,3d709883-aa0f-4fe9-a18c-271661c049c9,Enhydra lutris,"Linnaeus, 1758",173.13167,52.80056,urn:lsid:marinespecies.org:taxname:242598,False,242598,HumanObservation,,EN,Mammalia,1837,North America,United States,19119a0f-92f3-4662-85c5-30f8472067cf,Mustelidae,136974.0,Enhydra,242597.0,United States,"{DOROFF, 2003 #1276}",Animalia,2,"Near Islands, Aleutian Islands, Alaska.",True,"[""da50007b-7871-46cf-8530-441b5836d2c1""]",M_4804_1967,Carnivora,2687.0,Enhydra lutris,Chordata,1821,number of individuals,aerial survey,Enhydra lutris,242598.0,Vertebrata,146419,Tetrapoda,1831,,Pacific north temperate,1967,"no_depth,on_land"
5664,3d74b583-a669-427e-8728-4788563f32bd,Balaenoptera physalus,"(Linnaeus, 1758)",-18.0,66.33333,urn:lsid:marinespecies.org:taxname:137091,False,137091,HumanObservation,,VU,Mammalia,1837,Europe,Iceland,19119a0f-92f3-4662-85c5-30f8472067cf,Balaenopteridae,136979.0,Balaenoptera,137013.0,Iceland,"{Pike, 2005 #1125}",Animalia,2,Icelandic coastal waters,True,"[""da50007b-7871-46cf-8530-441b5836d2c1""]",M_1947_1990,Cetartiodactyla,370511.0,Balaenoptera physalus,Chordata,1821,Individuals,Primary sightings from aerial surveys,Balaenoptera physalus,137091.0,Vertebrata,146419,Tetrapoda,1831,,Arctic,1990,no_depth
5665,3d74fe1b-0018-440f-8e64-b422db10d1c7,Physeter macrocephalus,"Linnaeus, 1758",-18.0,66.33333,urn:lsid:marinespecies.org:taxname:137118,False,137119,HumanObservation,,VU,Mammalia,1837,Europe,Iceland,19119a0f-92f3-4662-85c5-30f8472067cf,Physeteridae,136985.0,Physeter,137032.0,Iceland,"{Pike, 2005 #1125}",Animalia,2,Icelandic coastal waters,True,"[""da50007b-7871-46cf-8530-441b5836d2c1""]",M_2015_2004,Cetartiodactyla,370511.0,Physeter catodon,Chordata,1821,Individuals,Primary sightings from aerial surveys,Physeter macrocephalus,137119.0,Vertebrata,146419,Tetrapoda,1831,,Arctic,2004,no_depth
5668,3d889eae-e9a0-4b11-8ec4-6a321cdd51e0,Delphinapterus leucas,"Pallas, 1776",-78.28194,56.90167,urn:lsid:marinespecies.org:taxname:137115,False,137115,HumanObservation,True,,Mammalia,1837,North America,Canada,19119a0f-92f3-4662-85c5-30f8472067cf,Monodontidae,136983.0,Delphinapterus,137029.0,Canada,"{DFO, 2005 #855}",Animalia,2,Eastern Hudson Bay population,True,"[""da50007b-7871-46cf-8530-441b5836d2c1""]",M_4559_2012,Cetartiodactyla,370511.0,Delphinapterus leucas,Chordata,1821,Population size,Aerial survey corrected by population model,Delphinapterus leucas,137115.0,Vertebrata,146419,Tetrapoda,1831,,Arctic,2012,no_depth
5670,3d8ca540-f5c0-4ef3-a03c-235d5cc5a292,Balaenoptera acutorostrata,"LacǸp��de, 1804",36.0,74.0,urn:lsid:marinespecies.org:taxname:137087,False,137087,HumanObservation,,,Mammalia,1837,Europe,Norway,19119a0f-92f3-4662-85c5-30f8472067cf,Balaenopteridae,136979.0,Balaenoptera,137013.0,Norway,"{Michalsen, 2004 #1309}",Animalia,2,"Barentshavet, Gr��nlandshavet, Norskehavet og Nordsj��en",True,"[""da50007b-7871-46cf-8530-441b5836d2c1""]",M_2365_1994,Cetartiodactyla,370511.0,Balaenoptera acutorostrata,Chordata,1821,Individuals,Population Estimate,Balaenoptera acutorostrata,137087.0,Vertebrata,146419,Tetrapoda,1831,,Arctic,1994,no_depth
5672,3d99cd93-388c-469e-89d4-505b2e5b224e,Odobenus rosmarus,"Illiger, 1815",-172.61,53.58111,urn:lsid:marinespecies.org:taxname:137077,False,137077,HumanObservation,,VU,Mammalia,1837,North America,United States,19119a0f-92f3-4662-85c5-30f8472067cf,Odobenidae,136975.0,Odobenus,137005.0,United States,"{Seitz, 1995 #1102}",Animalia,2,Alaska,True,"[""da50007b-7871-46cf-8530-441b5836d2c1""]",M_2217_2007,Carnivora,2687.0,Odobenus rosmarus,Chordata,1821,Number of individuals,Unknown,Odobenus rosmarus,137077.0,Vertebrata,146419,Tetrapoda,1831,,Pacific north temperate,2007,no_depth
5675,3da11ab2-36f8-4e04-94f2-1e6dc9ab50da,Eumetopias jubatus,"(Schreber, 1776)",-154.785,56.74167,urn:lsid:marinespecies.org:taxname:254999,False,254999,HumanObservation,,NT,Mammalia,1837,North America,United States,19119a0f-92f3-4662-85c5-30f8472067cf,Otariidae,231386.0,Eumetopias,254998.0,United States,"{Trites, 2003 #1338}",Animalia,2,Alaska - Western stock,True,"[""da50007b-7871-46cf-8530-441b5836d2c1""]",M_4860_1995,Carnivora,2687.0,Eumetopias jubatus,Chordata,1821,number of individuals,unknown,Eumetopias jubatus,254999.0,Vertebrata,146419,Tetrapoda,1831,,Pacific north temperate,1995,no_depth
5676,3da1e6c3-e91c-482d-8f57-ed3490466097,Enhydra lutris,"Linnaeus, 1758",166.27306,55.00083,urn:lsid:marinespecies.org:taxname:242598,False,242598,HumanObservation,,EN,Mammalia,1837,Asia,Russian Federation,19119a0f-92f3-4662-85c5-30f8472067cf,Mustelidae,136974.0,Enhydra,242597.0,Russian Federation,"{Bodkin, 1995 #540}",Animalia,2,"Bering Island, Russia",True,"[""da50007b-7871-46cf-8530-441b5836d2c1""]",M_2196_1996,Carnivora,2687.0,Enhydra lutris,Chordata,1821,Number of individuals,"Surveys from skiffs, airplanes, and helicopters",Enhydra lutris,242598.0,Vertebrata,146419,Tetrapoda,1831,,Pacific north temperate,1996,"no_depth,on_land"
5693,3dc15fed-6544-4796-9477-ee845a53d6f8,Balaenoptera acutorostrata,"LacǸp��de, 1804",-18.0,66.33333,urn:lsid:marinespecies.org:taxname:137087,False,137087,HumanObservation,,,Mammalia,1837,Europe,Iceland,19119a0f-92f3-4662-85c5-30f8472067cf,Balaenopteridae,136979.0,Balaenoptera,137013.0,Iceland,"{Pike, 2005 #1125}",Animalia,2,Icelandic coastal waters,True,"[""da50007b-7871-46cf-8530-441b5836d2c1""]",M_1941_1999,Cetartiodactyla,370511.0,Balaenoptera acutorostrata,Chordata,1821,Individuals,Primary sightings from aerial surveys,Balaenoptera acutorostrata,137087.0,Vertebrata,146419,Tetrapoda,1831,,Arctic,1999,no_depth
5695,3dc97c01-64b7-4d6e-95a4-2f24b4fc00df,Physeter macrocephalus,"Linnaeus, 1758",-18.0,66.33333,urn:lsid:marinespecies.org:taxname:137118,False,137119,HumanObservation,,VU,Mammalia,1837,Europe,Iceland,19119a0f-92f3-4662-85c5-30f8472067cf,Physeteridae,136985.0,Physeter,137032.0,Iceland,"{Pike, 2005 #1125}",Animalia,2,Icelandic coastal waters,True,"[""da50007b-7871-46cf-8530-441b5836d2c1""]",M_2015_2002,Cetartiodactyla,370511.0,Physeter catodon,Chordata,1821,Individuals,Primary sightings from aerial surveys,Physeter macrocephalus,137119.0,Vertebrata,146419,Tetrapoda,1831,,Arctic,2002,no_depth
5699,3dd555ff-0115-408d-bcf2-29f142d1af91,Enhydra lutris,"Linnaeus, 1758",-162.01667,54.86667,urn:lsid:marinespecies.org:taxname:242598,False,242598,HumanObservation,,EN,Mammalia,1837,North America,United States,19119a0f-92f3-4662-85c5-30f8472067cf,Mustelidae,136974.0,Enhydra,242597.0,United States,"{Burn, 2005 #2259}",Animalia,2,"South Alaska Peninsula, coastline of 22 islands",True,"[""da50007b-7871-46cf-8530-441b5836d2c1""]",M_9806_1969,Carnivora,2687.0,Enhydra lutris,Chordata,1821,Density (total otters per kilometer squared),Arial survey (coastal lengths),Enhydra lutris,242598.0,Vertebrata,146419,Tetrapoda,1831,,Arctic,1969,no_depth
5705,3df6a6b8-4582-420a-b247-bfc814109729,Odobenus rosmarus,"Illiger, 1815",-169.48222,64.41833,urn:lsid:marinespecies.org:taxname:137077,False,137077,HumanObservation,,VU,Mammalia,1837,North America,United States,19119a0f-92f3-4662-85c5-30f8472067cf,Odobenidae,136975.0,Odobenus,137005.0,"United States, Russian Federation","{Garner, 1995 #539} updated with {NOAA, 2010 #2292}",Animalia,2,Bering and Chukchi seas of Alaska and Russia,True,"[""da50007b-7871-46cf-8530-441b5836d2c1""]",M_2218_1977,Carnivora,2687.0,Odobenus rosmarus,Chordata,1821,Number of individuals,Count surveys,Odobenus rosmarus,137077.0,Vertebrata,146419,Tetrapoda,1831,,Pacific north temperate,1977,no_depth
5706,3e00c81f-9ef1-4d6f-94ac-2ec48057b0da,Enhydra lutris,"Linnaeus, 1758",-178.96306,51.38694,urn:lsid:marinespecies.org:taxname:242598,False,242598,HumanObservation,,EN,Mammalia,1837,North America,United States,19119a0f-92f3-4662-85c5-30f8472067cf,Mustelidae,136974.0,Enhydra,242597.0,United States,"{DOROFF, 2003 #1276}",Animalia,2,"Delarof Islands, Aleutian Islands, Alaska",True,"[""da50007b-7871-46cf-8530-441b5836d2c1""]",M_4806_2002,Carnivora,2687.0,Enhydra lutris,Chordata,1821,number of individuals,aerial survey,Enhydra lutris,242598.0,Vertebrata,146419,Tetrapoda,1831,,Pacific north temperate,2002,"no_depth,on_land"
5713,3e0f08b5-9942-41c0-82a3-cb0dbff46429,Balaenoptera acutorostrata,"LacǸp��de, 1804",-18.0,66.33333,urn:lsid:marinespecies.org:taxname:137087,False,137087,HumanObservation,,,Mammalia,1837,Europe,Iceland,19119a0f-92f3-4662-85c5-30f8472067cf,Balaenopteridae,136979.0,Balaenoptera,137013.0,Iceland,"{Pike, 2005 #1125}",Animalia,2,Icelandic coastal waters,True,"[""da50007b-7871-46cf-8530-441b5836d2c1""]",M_1941_2003,Cetartiodactyla,370511.0,Balaenoptera acutorostrata,Chordata,1821,Individuals,Primary sightings from aerial surveys,Balaenoptera acutorostrata,137087.0,Vertebrata,146419,Tetrapoda,1831,,Arctic,2003,no_depth
5714,3e0ffa13-4cda-44fd-adfd-49cabd3c8ed3,Pusa hispida,"Nordquist, 1899",-141.0,75.0,urn:lsid:marinespecies.org:taxname:159021,False,159021,HumanObservation,False,,Mammalia,1837,North America,Canada,19119a0f-92f3-4662-85c5-30f8472067cf,Phocidae,136976.0,Pusa,159020.0,"Canada, United States","{Stirling, 2002 #848}",Animalia,2,eastern Beaufort Sea,True,"[""da50007b-7871-46cf-8530-441b5836d2c1""]",M_4545_2004,Carnivora,2687.0,Pusa hispida,Chordata,1821,Seals per 100km��,Unspecified,Pusa hispida,159021.0,Vertebrata,146419,Tetrapoda,1831,False,Arctic,2004,no_depth
5715,3e13fdd1-0df0-4271-8fc2-7493b315ae54,Delphinapterus leucas,"Pallas, 1776",-164.26889,63.84917,urn:lsid:marinespecies.org:taxname:137115,False,137115,HumanObservation,True,,Mammalia,1837,North America,United States,19119a0f-92f3-4662-85c5-30f8472067cf,Monodontidae,136983.0,Delphinapterus,137029.0,United States,"{DeMaster, 2001 #2258}",Animalia,2,"Norton Sound, Alaska",True,"[""da50007b-7871-46cf-8530-441b5836d2c1""]",M_9802_1950,Cetartiodactyla,370511.0,Delphinapterus leucas,Chordata,1821,animals seen/km2,Aerial survey & line transect surveys,Delphinapterus leucas,137115.0,Vertebrata,146419,Tetrapoda,1831,,Pacific north temperate,1950,no_depth
