,id,scientificName,scientificNameAuthorship,decimalLongitude,decimalLatitude,scientificNameID,absence,aphiaID,basisOfRecord,brackish,category,class,classid,continent,country,dataset_id,family,familyid,genus,genusid,higherGeography,identificationReferences,kingdom,kingdomid,locality,marine,node_id,occurrenceID,order,orderid,originalScientificName,phylum,phylumid,sampleSizeUnit,samplingProtocol,species,speciesid,subphylum,subphylumid,superclass,superclassid,terrestrial,waterBody,year,flags
45,00872e56-6308-400d-aab7-8353393aca54,Balaenoptera physalus,"(Linnaeus, 1758)",-170.0,57.0,urn:lsid:marinespecies.org:taxname:137091,False,137091,HumanObservation,,VU,Mammalia,1837,North America,United States,19119a0f-92f3-4662-85c5-30f8472067cf,Balaenopteridae,136979.0,Balaenoptera,137013.0,United States,"{Baretta, 1994 #1685}",Animalia,2,"Pribilof Isalnds, Bering Sea",True,"[""da50007b-7871-46cf-8530-441b5836d2c1""]",M_6415_1968,Cetartiodactyla,370511.0,Balaenoptera physalus,Chordata,1821,Frequency of group sightings,boat based surveys,Balaenoptera physalus,137091.0,Vertebrata,146419,Tetrapoda,1831,,Pacific north temperate,1968,no_depth
47,008ea072-17f3-40fc-ac60-1def90a7afc1,Balaenoptera physalus,"(Linnaeus, 1758)",-170.0,57.0,urn:lsid:marinespecies.org:taxname:137091,False,137091,HumanObservation,,VU,Mammalia,1837,North America,United States,19119a0f-92f3-4662-85c5-30f8472067cf,Balaenopteridae,136979.0,Balaenoptera,137013.0,United States,"{Baretta, 1994 #1685}",Animalia,2,"Pribilof Isalnds, Bering Sea",True,"[""da50007b-7871-46cf-8530-441b5836d2c1""]",M_6415_1987,Cetartiodactyla,370511.0,Balaenoptera physalus,Chordata,1821,Frequency of group sightings,boat based surveys,Balaenoptera physalus,137091.0,Vertebrata,146419,Tetrapoda,1831,,Pacific north temperate,1987,no_depth
49,0092054e-5894-4950-9c47-50aa6edf5293,Balaenoptera physalus,"(Linnaeus, 1758)",-170.0,57.0,urn:lsid:marinespecies.org:taxname:137091,False,137091,HumanObservation,,VU,Mammalia,1837,North America,United States,19119a0f-92f3-4662-85c5-30f8472067cf,Balaenopteridae,136979.0,Balaenoptera,137013.0,United States,"{Baretta, 1994 #1685}",Animalia,2,"Pribilof Isalnds, Bering Sea",True,"[""da50007b-7871-46cf-8530-441b5836d2c1""]",M_6415_1957,Cetartiodactyla,370511.0,Balaenoptera physalus,Chordata,1821,Frequency of group sightings,boat based surveys,Balaenoptera physalus,137091.0,Vertebrata,146419,Tetrapoda,1831,,Pacific north temperate,1957,no_depth
55,00a2f8de-f153-4634-b501-73a2077910f0,Enhydra lutris,"Linnaeus, 1758",-157.15,56.71667,urn:lsid:marinespecies.org:taxname:242598,False,242598,HumanObservation,,EN,Mammalia,1837,North America,United States,19119a0f-92f3-4662-85c5-30f8472067cf,Mustelidae,136974.0,Enhydra,242597.0,United States,"{Burn, 2005 #2259}",Animalia,2,"South Alaska peninsula, False Pass to Cape Douglas, coastal",True,"[""da50007b-7871-46cf-8530-441b5836d2c1""]",M_9807_1962,Carnivora,2687.0,Enhydra lutris,Chordata,1821,Density (total otters per kilometer squared),Arial survey (coastal lengths),Enhydra lutris,242598.0,Vertebrata,146419,Tetrapoda,1831,,Arctic,1962,no_depth
60,00a58faf-c3fc-4708-a311-87f82c00fd7d,Phoca vitulina,"Linnaeus, 1758",-170.4,57.04583,urn:lsid:marinespecies.org:taxname:137084,False,137084,HumanObservation,True,,Mammalia,1837,North America,United States,19119a0f-92f3-4662-85c5-30f8472067cf,Phocidae,136976.0,Phoca,137010.0,United States,"{NOAA, 1998 #1141}",Animalia,2,"Otter Island, Bering Sea, Alaska",True,"[""da50007b-7871-46cf-8530-441b5836d2c1""]",M_2225_1971,Carnivora,2687.0,Phoca vitulina,Chordata,1821,Number of individuals,Aerial counts,Phoca vitulina,137084.0,Vertebrata,146419,Tetrapoda,1831,,Pacific north temperate,1971,"no_depth,on_land"
70,00c56349-7e22-4c42-8b42-0b6a880c711f,Ursus maritimus,"Phipps, 1774",-179.715,71.18861,urn:lsid:marinespecies.org:taxname:137085,False,137085,HumanObservation,,VU,Mammalia,1837,Asia,Russian Federation,19119a0f-92f3-4662-85c5-30f8472067cf,Ursidae,136977.0,Ursus,137011.0,Russian Federation,"{Derocher, 1997 #924}",Animalia,2,Wrangel Island State Nature Reserve,True,"[""da50007b-7871-46cf-8530-441b5836d2c1""]",M_4633_1990,Carnivora,2687.0,Ursus maritimus,Chordata,1821,No of Polar bear dens/100km,aerial and ground transect surveys,Ursus maritimus,137085.0,Vertebrata,146419,Tetrapoda,1831,,Arctic,1990,"no_depth,on_land"
74,00cecaf1-8778-49cc-831e-2412d2a86afb,Phoca vitulina,"Linnaeus, 1758",19.90361,63.30278,urn:lsid:marinespecies.org:taxname:137084,False,137084,HumanObservation,True,,Mammalia,1837,Europe,Sweden,19119a0f-92f3-4662-85c5-30f8472067cf,Phocidae,136976.0,Phoca,137010.0,Sweden,"{Normander, 2009 #1846}",Animalia,2,Northern Sweden,True,"[""da50007b-7871-46cf-8530-441b5836d2c1""]",M_8322_1970,Carnivora,2687.0,Phoca vitulina,Chordata,1821,Number of Individuals,Unknown,Phoca vitulina,137084.0,Vertebrata,146419,Tetrapoda,1831,,Atlantic north temperate,1970,no_depth
75,00d02ad8-d729-4451-ab2d-2ede3c169819,Delphinapterus leucas,"Pallas, 1776",-160.0,58.0,urn:lsid:marinespecies.org:taxname:137115,False,137115,HumanObservation,True,,Mammalia,1837,North America,United States,19119a0f-92f3-4662-85c5-30f8472067cf,Monodontidae,136983.0,Delphinapterus,137029.0,United States,"{Trites, 1999 #1136}",Animalia,2,East Bering Sea,True,"[""da50007b-7871-46cf-8530-441b5836d2c1""]",M_2192_2007,Cetartiodactyla,370511.0,Delphinapterus leucas,Chordata,1821,Number of individuals,Unknown,Delphinapterus leucas,137115.0,Vertebrata,146419,Tetrapoda,1831,,Pacific north temperate,2007,no_depth
76,00d10d38-f90a-4199-8cbf-553d4bf49bf8,Eschrichtius robustus,"Lilljeborg, 1861",-170.46667,64.0,urn:lsid:marinespecies.org:taxname:137112,False,137112,HumanObservation,,,Mammalia,1837,North America,United States,19119a0f-92f3-4662-85c5-30f8472067cf,Eschrichtiidae,136981.0,Eschrichtius,137027.0,United States,"{Moore, 2003 #1404}",Animalia,2,Northern Bering Sea including St Lawrence Island,True,"[""da50007b-7871-46cf-8530-441b5836d2c1""]",M_5074_1988,Cetartiodactyla,370511.0,Eschrichtius robustus,Chordata,1821,no. of whales per 10km survey effort,aerial surveys fixed wing aircraft,Eschrichtius robustus,137112.0,Vertebrata,146419,Tetrapoda,1831,,Pacific north temperate,1988,no_depth
77,00d1a98c-0492-48b9-976b-834ebf3ea7b0,Ursus maritimus,"Phipps, 1774",-146.57028,70.67806,urn:lsid:marinespecies.org:taxname:137085,False,137085,HumanObservation,,VU,Mammalia,1837,North America,United States,19119a0f-92f3-4662-85c5-30f8472067cf,Ursidae,136977.0,Ursus,137011.0,"United States, Canada","{IUCN, 2001 #1798} updated with {IUCN/SSC Polar Bear Specialist Group, 2010 #2180}",Animalia,2,Southern Beaufort population,True,"[""da50007b-7871-46cf-8530-441b5836d2c1""]",M_8062_1964,Carnivora,2687.0,Ursus maritimus,Chordata,1821,Individuals,Unknown,Ursus maritimus,137085.0,Vertebrata,146419,Tetrapoda,1831,,Arctic,1964,no_depth
